Mois,GAZ(T),EA,JET,SC,NAPHTA,PL,GO,FO
01/01/25,0,0,0,880,0,62,4686,2078
01/02/25,0,0,0,728,0,145,4087,1433
01/03/25,0,0,0,760,0,129,4628,2670
01/04/25,0,0,0,958,0,220,5267,1802
01/05/25,0,0,0,938,0,193,5394,835
01/06/25,0,0,0,1065,0,204,5530,2345
01/07/25,0,0,0,1044,0,182,6053,1290
01/08/25,0,0,0,1030,0,124,6064,2918
01/09/25,0,0,0,996,0,108,5429,1430
01/10/25,0,0,0,1108,0,130,5683,1000
01/11/25,0,0,0,1012,0,122,5237,2170
01/12/25,0,0,0,1206,0,135,5268,2095
