Mois,GAZ(T),EA,JET,SC,NAPHTA,PL,GO,FO
01/01/25,0,0,0,1426,0,1167,4000,177
01/02/25,0,0,0,1165,0,435,5304,854
01/03/25,0,0,0,1284,0,674,4646,782
01/04/25,0,0,0,1637,0,644,6383,107
01/05/25,0,0,0,1734,0,1240,7160,0
01/06/25,0,0,0,1702,0,1270,7315,0
01/07/25,0,0,0,2050,0,1460,7850,0
01/08/25,0,0,0,1922,0,949,8511,0
01/09/25,0,0,0,1866,0,815,7961,0
01/10/25,0,0,0,2112,0,1126,8168,0
01/11/25,0,0,0,1807,0,828,6362,0
01/12/25,0,0,0,1642,0,942,5816,0
