Mois,GAZ(T),EA,JET,SC,NAPHTA,PL,GO,FO
01/01/25,0,0,0,905,0,745,4136,0
01/02/25,0,0,0,665,0,609,2989,0
01/03/25,0,0,0,742,0,586,3377,0
01/04/25,0,0,0,889,0,535,3943,0
01/05/25,0,0,0,807,0,632,3988,0
01/06/25,0,0,0,844,0,470,4149,0
01/07/25,0,0,0,898,0,438,4816,0
01/08/25,0,0,0,895,0,487,5040,0
01/09/25,0,0,0,993,0,444,5225,0
01/10/25,0,0,0,1032,0,466,5193,0
01/11/25,0,0,0,998,0,484,4726,0
01/12/25,0,0,0,1083,0,415,4948,0
