Mois,GAZ(T),EA,JET,SC,NAPHTA,PL,GO,FO
01/01/25,0,0,0,2229,0,1357,13773,1432
01/02/25,0,0,0,1942,0,854,12187,2756
01/03/25,0,0,0,1935,0,918,13386,4592
01/04/25,0,0,0,2986,0,985,13433,2926
01/05/25,0,0,0,2978,0,910,13040,2500
01/06/25,0,0,0,2845,0,1092,13736,2560
01/07/25,0,0,0,2889,0,1112,14948,2311
01/08/25,0,0,0,2410,0,1129,14792,2485
01/09/25,0,0,0,2441,0,1014,14337,2881
01/10/25,0,0,0,2628,0,1101,16651,3279
01/11/25,0,0,0,2694,0,888,16390,3031
01/12/25,0,0,0,2858,0,890,15180,2804
