Mois,GAZ(T),EA,JET,SC,NAPHTA,PL,GO,FO
01/01/25,0,0,0,2256,0,380,5062,1447
01/02/25,0,0,0,2353,0,460,5106,1180
01/03/25,0,0,0,2296,0,236,5974,974
01/04/25,0,0,0,2748,0,404,6205,1381
01/05/25,0,0,0,2756,0,470,6756,1414
01/06/25,0,0,0,2762,0,450,6060,1347
01/07/25,0,0,0,3071,0,562,7530,1147
01/08/25,0,0,0,3311,0,394,6886,1282
01/09/25,0,0,0,3087,0,251,7040,1081
01/10/25,0,0,0,3766,0,409,7105,1426
01/11/25,0,0,0,3272,0,324,6435,1147
01/12/25,0,0,0,3420,0,298,6198,1000
